2021-10-11 09:44:45,352 MDT INFO   log.monitoring 1155 [localhost-startStop-1] **** Server Started (logVersion=1.4) ****
2021-10-11 09:44:45,354 MDT INFO   log.monitoring 1155 [localhost-startStop-1] ,max mem (MB),total mem (MB),free mem (MB),strings pool,integers pool,other objects pool
2021-10-11 09:44:45,358 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,183,70,0,0,
2021-10-11 09:44:55,359 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,220,149,0,0,
2021-10-11 09:45:05,362 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,220,37,20,0,
2021-10-11 09:45:15,363 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,458,157,71,0,
2021-10-11 09:45:25,381 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,458,239,76,0,
2021-10-11 09:45:35,383 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,458,121,124,0,
2021-10-11 09:45:45,387 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,458,120,124,0,
2021-10-11 09:45:55,389 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,458,144,109,0,
2021-10-11 09:46:05,389 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,458,66,115,0,
2021-10-11 09:46:15,394 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,458,206,108,0,
2021-10-11 09:46:25,399 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,458,207,99,0,
2021-10-11 09:46:35,404 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,458,182,94,0,
2021-10-11 09:46:45,407 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,458,108,105,0,
2021-10-11 09:46:55,412 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,458,110,122,0,
2021-10-11 09:47:05,417 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,550,186,156,0,
2021-10-11 09:47:15,421 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,550,123,139,0,
2021-10-11 09:47:25,426 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,550,88,111,0,
2021-10-11 09:47:35,429 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,550,149,143,0,
2021-10-11 09:47:45,433 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,550,95,122,0,
2021-10-11 09:47:55,437 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,550,148,115,0,
2021-10-11 09:48:05,442 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,550,109,122,0,
2021-10-11 09:48:15,445 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,663,125,156,0,
2021-10-11 09:48:25,450 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,663,127,122,0,
2021-10-11 09:48:35,452 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,663,192,125,0,
2021-10-11 09:48:45,453 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,663,159,152,0,
2021-10-11 09:48:55,454 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,663,144,142,0,
2021-10-11 09:49:05,459 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,663,77,130,0,
2021-10-11 09:49:15,463 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,663,179,129,0,
2021-10-11 09:49:25,467 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,663,141,131,0,
2021-10-11 09:49:35,472 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,663,118,131,0,
2021-10-11 09:49:45,475 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,663,152,132,0,
2021-10-11 09:49:55,476 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,796,227,133,0,
2021-10-11 09:50:05,478 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,796,162,167,0,
2021-10-11 09:50:15,482 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,796,132,136,0,
2021-10-11 09:50:25,486 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,796,181,140,0,
2021-10-11 09:50:35,490 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,796,131,151,0,
2021-10-11 09:50:45,494 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,796,127,152,0,
2021-10-11 09:50:55,507 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,796,121,152,0,
2021-10-11 09:51:05,508 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,796,94,155,0,
2021-10-11 09:51:15,512 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,796,85,166,0,
2021-10-11 09:51:25,517 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1120,225,192,0,
2021-10-11 09:51:35,522 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1120,223,159,0,
2021-10-11 09:51:45,526 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1120,277,160,0,
2021-10-11 09:51:55,527 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1120,221,194,0,
2021-10-11 09:52:05,528 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1120,246,178,0,
2021-10-11 09:52:15,532 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1120,377,162,0,
2021-10-11 09:52:25,537 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1120,221,194,0,
2021-10-11 09:52:35,540 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1120,239,165,0,
2021-10-11 09:52:45,545 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1120,175,208,0,
2021-10-11 09:52:55,549 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1120,133,179,0,
2021-10-11 09:53:05,553 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1120,202,169,0,
2021-10-11 09:53:15,557 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1120,190,207,0,
2021-10-11 09:53:25,562 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1120,144,172,0,
2021-10-11 09:53:35,564 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1120,127,206,0,
2021-10-11 09:53:45,567 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1120,199,173,0,
2021-10-11 09:53:55,571 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1120,215,175,0,
2021-10-11 09:54:05,576 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1120,157,175,0,
2021-10-11 09:54:15,577 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1120,153,177,0,
2021-10-11 09:54:25,573 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1120,169,178,0,
2021-10-11 09:54:35,570 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1120,122,183,0,
2021-10-11 09:54:45,568 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1120,140,181,0,
2021-10-11 09:54:55,570 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1120,180,181,0,
2021-10-11 09:55:05,575 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1240,259,183,0,
2021-10-11 09:55:15,579 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1240,195,183,0,
2021-10-11 09:55:25,581 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1240,271,183,0,
2021-10-11 09:55:35,581 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1240,246,185,0,
2021-10-11 09:55:45,582 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1240,212,186,0,
2021-10-11 09:55:55,584 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1240,185,187,0,
2021-10-11 09:56:05,588 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1240,150,192,0,
2021-10-11 09:56:15,592 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1240,137,189,0,
2021-10-11 09:56:25,593 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1240,176,221,0,
2021-10-11 09:56:35,593 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1240,151,194,0,
2021-10-11 09:56:45,598 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1240,161,194,0,
2021-10-11 09:56:55,600 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1240,122,200,0,
2021-10-11 09:57:05,603 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,273,198,0,
2021-10-11 09:57:15,604 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,224,199,0,
2021-10-11 09:57:25,609 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,176,202,0,
2021-10-11 09:57:35,611 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,158,202,0,
2021-10-11 09:57:45,617 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,147,204,0,
2021-10-11 09:57:55,621 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,132,211,0,
2021-10-11 09:58:05,624 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,149,208,0,
2021-10-11 09:58:15,628 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,140,208,0,
2021-10-11 09:58:25,632 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,108,211,0,
2021-10-11 09:58:35,635 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,82,211,0,
2021-10-11 09:58:45,640 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,833,124,0,
2021-10-11 09:58:55,642 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,701,217,0,
2021-10-11 09:59:05,647 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,187,217,0,
2021-10-11 09:59:15,653 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,720,126,0,
2021-10-11 09:59:25,657 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,514,127,0,
2021-10-11 09:59:35,659 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,318,221,0,
2021-10-11 09:59:45,664 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,363,219,0,
2021-10-11 09:59:55,670 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,753,128,0,
2021-10-11 10:00:05,672 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,681,129,0,
2021-10-11 10:00:15,677 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,752,130,0,
2021-10-11 10:00:25,679 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,685,131,0,
2021-10-11 10:00:35,683 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,382,149,0,
2021-10-11 10:00:45,684 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,342,225,0,
2021-10-11 10:00:55,687 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,563,133,0,
2021-10-11 10:01:05,689 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,632,134,0,
2021-10-11 10:01:15,694 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,505,169,0,
2021-10-11 10:01:25,698 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,610,137,0,
2021-10-11 10:01:35,701 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,247,216,0,
2021-10-11 10:01:45,704 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,201,182,0,
2021-10-11 10:01:55,705 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,391,142,0,
2021-10-11 10:02:05,711 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,269,182,0,
2021-10-11 10:02:15,713 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,307,237,0,
2021-10-11 10:02:25,716 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,335,147,0,
2021-10-11 10:02:35,721 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,284,160,0,
2021-10-11 10:02:45,725 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,493,148,0,
2021-10-11 10:02:55,729 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,321,189,0,
2021-10-11 10:03:05,731 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,400,150,0,
2021-10-11 10:03:15,737 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,459,152,0,
2021-10-11 10:03:25,741 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,457,152,0,
2021-10-11 10:03:35,744 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,230,244,0,
2021-10-11 10:03:45,747 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,246,250,0,
2021-10-11 10:03:55,748 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,356,162,0,
2021-10-11 10:04:05,749 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,260,195,0,
2021-10-11 10:04:15,754 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,275,167,0,
2021-10-11 10:04:25,757 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,274,167,0,
2021-10-11 10:04:35,760 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,272,167,0,
2021-10-11 10:04:45,763 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,270,167,0,
2021-10-11 10:04:55,764 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,269,167,0,
2021-10-11 10:05:05,767 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,267,167,0,
2021-10-11 10:05:15,771 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,265,167,0,
2021-10-11 10:05:25,775 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,262,167,0,
2021-10-11 10:05:35,779 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,259,167,0,
2021-10-11 10:05:45,783 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,257,167,0,
2021-10-11 10:05:55,786 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,256,167,0,
2021-10-11 10:06:05,788 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,254,167,0,
2021-10-11 10:06:15,793 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,252,167,0,
2021-10-11 10:06:25,797 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,251,167,0,
2021-10-11 10:06:35,803 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,250,167,0,
2021-10-11 10:06:45,806 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,248,167,0,
2021-10-11 10:06:55,808 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,246,167,0,
2021-10-11 10:07:05,810 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,244,167,0,
